edge_id,u,v,length_m,hierarchy,bike_allowed,walk_allowed
edge_center_n_1_0,center,n_1_0,640.0,radial_arterial,False,True
edge_n_1_0_n_2_0,n_1_0,n_2_0,640.0,radial_arterial,True,True
edge_n_2_0_n_3_0,n_2_0,n_3_0,640.0,radial_arterial,True,True
edge_n_3_0_n_4_0,n_3_0,n_4_0,640.0,radial_arterial,True,True
edge_n_4_0_n_5_0,n_4_0,n_5_0,640.0,radial_arterial,True,True
edge_center_n_1_1,center,n_1_1,640.0,radial_arterial,True,True
edge_n_1_1_n_2_1,n_1_1,n_2_1,640.0,radial_arterial,True,True
edge_n_2_1_n_3_1,n_2_1,n_3_1,640.0,radial_arterial,True,True
edge_n_3_1_n_4_1,n_3_1,n_4_1,640.0,radial_arterial,True,True
edge_n_4_1_n_5_1,n_4_1,n_5_1,640.0,radial_arterial,True,True
edge_center_n_1_2,center,n_1_2,640.0,radial_arterial,True,True
edge_n_1_2_n_2_2,n_1_2,n_2_2,640.0,radial_arterial,True,True
edge_n_2_2_n_3_2,n_2_2,n_3_2,640.0,radial_arterial,True,True
edge_n_3_2_n_4_2,n_3_2,n_4_2,640.0,radial_arterial,True,True
edge_n_4_2_n_5_2,n_4_2,n_5_2,640.0,radial_arterial,True,True
edge_center_n_1_3,center,n_1_3,640.0,radial_arterial,False,True
edge_n_1_3_n_2_3,n_1_3,n_2_3,640.0,radial_arterial,True,True
edge_n_2_3_n_3_3,n_2_3,n_3_3,640.0,radial_arterial,True,True
edge_n_3_3_n_4_3,n_3_3,n_4_3,640.0,radial_arterial,True,True
edge_n_4_3_n_5_3,n_4_3,n_5_3,640.0,radial_arterial,True,True
edge_center_n_1_4,center,n_1_4,640.0,radial_arterial,True,True
edge_n_1_4_n_2_4,n_1_4,n_2_4,640.0,radial_arterial,True,True
edge_n_2_4_n_3_4,n_2_4,n_3_4,640.0,radial_arterial,True,True
edge_n_3_4_n_4_4,n_3_4,n_4_4,640.0,radial_arterial,True,True
edge_n_4_4_n_5_4,n_4_4,n_5_4,640.0,radial_arterial,True,True
edge_center_n_1_5,center,n_1_5,640.0,radial_arterial,True,True
edge_n_1_5_n_2_5,n_1_5,n_2_5,640.0,radial_arterial,True,True
edge_n_2_5_n_3_5,n_2_5,n_3_5,640.0,radial_arterial,True,True
edge_n_3_5_n_4_5,n_3_5,n_4_5,640.0,radial_arterial,True,True
