parcel_id,landuse,population,within_15_walk,within_15_bike,nearest_grocery_walk_min,nearest_clinic_walk_min,nearest_school_walk_min
parcel_0_0,green_heart,162,True,True,14.29,0.0,4.41
parcel_0_1,green_heart,162,True,True,14.29,8.83,11.56
parcel_0_2,green_heart,162,True,True,14.29,8.83,11.56
parcel_0_3,green_heart,162,True,True,13.24,13.24,14.29
parcel_0_4,green_heart,162,True,True,8.83,14.29,14.29
parcel_0_5,green_heart,162,True,True,0.0,7.14,13.24
parcel_0_6,green_heart,162,True,True,0.0,7.14,13.24
parcel_0_7,green_heart,162,True,True,4.41,11.56,8.83
parcel_0_8,green_heart,162,True,True,8.83,8.83,4.41
parcel_0_9,green_heart,162,True,True,13.24,4.41,0.0
parcel_1_0,mixed_use,420,True,True,14.29,0.0,4.41
parcel_1_1,mixed_use,420,True,True,14.29,8.83,11.56
parcel_1_2,mixed_use,420,True,True,13.24,13.24,14.29
parcel_1_3,mixed_use,420,True,True,13.24,13.24,14.29
parcel_1_4,mixed_use,420,True,True,8.83,14.29,14.29
parcel_1_5,mixed_use,420,True,True,4.41,11.56,14.29
parcel_1_6,mixed_use,420,True,True,0.0,7.14,13.24
parcel_1_7,mixed_use,420,True,True,4.41,11.56,8.83
parcel_1_8,mixed_use,420,True,True,13.24,4.41,0.0
parcel_1_9,mixed_use,420,True,True,14.29,0.0,4.41
parcel_2_0,high_density_residential,589,False,True,21.43,11.56,0.0
parcel_2_1,high_density_residential,589,False,True,21.43,11.56,0.0
parcel_2_2,high_density_residential,589,False,True,15.97,20.39,17.66
parcel_2_3,high_density_residential,589,False,True,7.14,17.66,21.43
parcel_2_4,high_density_residential,589,False,True,7.14,17.66,21.43
parcel_2_5,high_density_residential,589,True,True,7.14,0.0,7.14
parcel_2_6,high_density_residential,589,True,True,7.14,0.0,7.14
parcel_2_7,high_density_residential,589,False,True,15.97,15.97,11.56
parcel_2_8,high_density_residential,589,False,True,15.97,15.97,11.56
parcel_2_9,high_density_residential,589,False,True,20.39,11.56,7.14
parcel_3_0,medium_density_residential,669,False,True,28.57,18.7,7.14
parcel_3_1,medium_density_residential,669,False,True,26.49,23.11,15.97
parcel_3_2,medium_density_residential,669,False,True,26.49,23.11,15.97
parcel_3_3,medium_density_residential,669,False,True,0.0,24.8,26.49
parcel_3_4,medium_density_residential,669,False,True,0.0,24.8,26.49
parcel_3_5,medium_density_residential,669,False,True,13.24,15.97,13.24
parcel_3_6,medium_density_residential,669,False,True,14.29,7.14,0.0
parcel_3_7,medium_density_residential,669,False,True,18.7,15.97,13.24
parcel_3_8,medium_density_residential,669,False,True,23.11,23.11,18.7
parcel_3_9,medium_density_residential,669,False,True,27.53,18.7,14.29
parcel_4_0,urban_agriculture,660,False,True,35.71,25.84,14.29
parcel_4_1,urban_agriculture,660,False,True,33.63,30.26,23.11
parcel_4_2,urban_agriculture,660,False,True,20.39,34.67,31.94
parcel_4_3,urban_agriculture,660,False,True,20.39,34.67,31.94
parcel_4_4,urban_agriculture,660,False,True,7.14,31.94,33.63
parcel_4_5,urban_agriculture,660,False,True,20.39,23.11,20.39
parcel_4_6,urban_agriculture,660,False,True,21.43,14.29,7.14
parcel_4_7,urban_agriculture,660,False,True,30.26,30.26,25.84
parcel_4_8,urban_agriculture,660,False,True,30.26,30.26,25.84
parcel_4_9,urban_agriculture,660,False,True,34.67,25.84,21.43
