destination_id,name,destination_type,walk_time_min,bike_time_min
facility_1_0,Clinic 1-0,clinic,7.14,3.85
facility_1_2,Park 1-2,park,7.14,3.85
facility_1_4,Energy Plant 1-4,energy_plant,7.14,2.38
facility_1_6,Grocery 1-6,grocery,7.14,3.85
facility_1_8,School 1-8,school,7.14,3.85
facility_2_0,School 2-0,school,14.29,4.76
facility_2_2,Maas Hub 2-2,maas_hub,14.29,6.23
facility_2_4,Micromobility Hub 2-4,micromobility_hub,14.29,4.76
facility_2_6,Clinic 2-6,clinic,14.29,6.23
facility_2_8,Park 2-8,park,14.29,4.76
facility_3_0,Park 3-0,park,21.43,7.14
facility_3_2,Energy Plant 3-2,energy_plant,21.43,7.14
facility_3_4,Grocery 3-4,grocery,21.43,7.14
facility_3_6,School 3-6,school,21.43,8.61
facility_3_8,Maas Hub 3-8,maas_hub,21.43,7.14
station_central,Central Station,central_station,0.0,0.0
station_ring_0,Ring Station 1,ring_station,14.29,6.23
station_ring_1,Ring Station 2,ring_station,14.29,4.76
station_ring_2,Ring Station 3,ring_station,14.29,4.76
station_ring_3,Ring Station 4,ring_station,14.29,6.23
station_ring_4,Ring Station 5,ring_station,14.29,6.23
station_ring_5,Ring Station 6,ring_station,14.29,4.76
station_ring_6,Ring Station 7,ring_station,14.29,4.76
station_ring_7,Ring Station 8,ring_station,14.29,6.23
station_ring_8,Ring Station 9,ring_station,14.29,4.76
station_ring_9,Ring Station 10,ring_station,14.29,4.76
station_ring_10,Ring Station 11,ring_station,14.29,4.76
station_ring_11,Ring Station 12,ring_station,14.29,6.23
stop_0_0,Spoke 1 Stop 1,spoke_stop,14.29,6.23
stop_0_1,Spoke 1 Stop 2,spoke_stop,21.43,8.61
stop_0_2,Spoke 1 Stop 3,spoke_stop,28.57,11.0
stop_1_0,Spoke 2 Stop 1,spoke_stop,14.29,4.76
stop_1_1,Spoke 2 Stop 2,spoke_stop,21.43,7.14
stop_1_2,Spoke 2 Stop 3,spoke_stop,28.57,9.52
stop_2_0,Spoke 3 Stop 1,spoke_stop,14.29,4.76
stop_2_1,Spoke 3 Stop 2,spoke_stop,21.43,7.14
stop_2_2,Spoke 3 Stop 3,spoke_stop,28.57,9.52
stop_3_0,Spoke 4 Stop 1,spoke_stop,14.29,6.23
stop_3_1,Spoke 4 Stop 2,spoke_stop,21.43,8.61
stop_3_2,Spoke 4 Stop 3,spoke_stop,28.57,11.0
stop_4_0,Spoke 5 Stop 1,spoke_stop,14.29,4.76
stop_4_1,Spoke 5 Stop 2,spoke_stop,21.43,7.14
stop_4_2,Spoke 5 Stop 3,spoke_stop,28.57,9.52
stop_5_0,Spoke 6 Stop 1,spoke_stop,14.29,4.76
stop_5_1,Spoke 6 Stop 2,spoke_stop,21.43,7.14
stop_5_2,Spoke 6 Stop 3,spoke_stop,28.57,9.52
stop_6_0,Spoke 7 Stop 1,spoke_stop,14.29,6.23
stop_6_1,Spoke 7 Stop 2,spoke_stop,21.43,8.61
stop_6_2,Spoke 7 Stop 3,spoke_stop,28.57,11.0
stop_7_0,Spoke 8 Stop 1,spoke_stop,14.29,4.76
stop_7_1,Spoke 8 Stop 2,spoke_stop,21.43,7.14
stop_7_2,Spoke 8 Stop 3,spoke_stop,28.57,9.52
stop_8_0,Spoke 9 Stop 1,spoke_stop,14.29,4.76
stop_8_1,Spoke 9 Stop 2,spoke_stop,21.43,7.14
stop_8_2,Spoke 9 Stop 3,spoke_stop,28.57,9.52
stop_9_0,Spoke 10 Stop 1,spoke_stop,14.29,6.23
stop_9_1,Spoke 10 Stop 2,spoke_stop,21.43,8.61
stop_9_2,Spoke 10 Stop 3,spoke_stop,28.57,11.0
